station,station_number,station_name,lat,lon
1 - Memorial JK,1, Memorial JK,-15.783479,-47.913372
2 - Praça Buriti,2, Praça Buriti,-15.785651,-47.90875
3 - Centro de Convenções,3, Centro de Convenções,-15.786409,-47.899865
4 - Torre de TV,4, Torre de TV,-15.789581,-47.894312
5 - Setor Hoteleiro Norte,5, Setor Hoteleiro Norte,-15.789029,-47.891015
6 - Rodoviária,6, Rodoviária,-15.79393,-47.881529
7 - Catedral Metropolitana,7, Catedral Metropolitana,-15.797438,-47.874552
8 - Ministério da Defesa,8, Ministério da Defesa,-15.795867,-47.870901
9 - Ministério da Cultura,9, Ministério da Cultura,-15.798295,-47.871807
10 - Ministério dos Transportes,10, Ministério dos Transportes,-15.79683,-47.867795
11 - Rodoviária 2,11, Rodoviária 2,-15.794622,-47.881721
12 - Rodoviária 3,12, Rodoviária 3,-15.794242,-47.883524
13 - Liberty Mall,13, Liberty Mall,-15.78572,-47.883563
14 - Brasília Shopping,14, Brasília Shopping,-15.786409,-47.887898
15 - Brasil 21,15, Brasil 21,-15.794724,-47.89523
16 - SRTVS,16, SRTVS,-15.796389,-47.893437
17 - Shopping Pátio Brasil,17, Shopping Pátio Brasil,-15.795827,-47.890914
18 - Praça do Povo,18, Praça do Povo,-15.798575,-47.889059
19 - Banco Central,19, Banco Central,-15.802146,-47.883785
20 - SAS,20, SAS,-15.799919,-47.880428
21 - EQS 202 / 203,21, EQS 202 / 203,-15.807616,-47.885283
22 - 102 Sul,22, 102 Sul,-15.805286,-47.889203
23 - STF,23, STF,-15.801647000000001,-47.862147
24 - Galeria,24, Galeria,-15.798696,-47.884806
25 - Deck Sul,25, Deck Sul,-15.83797,-47.902858
26 - Ministério da Saude,26, Ministério da Saude,-15.799611,-47.868395
27 - Ministério do Planejamento,27, Ministério do Planejamento,-15.794664,-47.874487
28 - CNMP - Conselho Nacional do Ministério Público,28, CNMP ,-15.80455,-47.867038
29 - INMETRO,29, INMETRO,-15.780858,-47.883277
30 - TSE,30, TSE,-15.809428,-47.868797
31 - EQS 204/205,31, EQS 204/205,-15.812401,-47.890381
32 - SQS 305,32, SQS 305,-15.809892,-47.897377
33 - EQS 104/304,33, EQS 104/304,-15.807126,-47.894236
34 - Shopping Mall,34, Shopping Mall,-15.80209,-47.892749
35 - CLN 403,35, CLN 403,-15.780134,-47.875
36 - CLN 204,36, CLN 204,-15.776928,-47.877007
37 - EQN 104/105,37, EQN 104/105,-15.774583,-47.883707
38 - SQN 205,38, SQN 205,-15.770067,-47.878153
39 - CLN 406,39, CLN 406,-15.765826,-47.876935
40 - W2/EQN305/306,40, W2/EQN305/306,-15.771618,-47.887756
41 - Instituto de Artes,41, Instituto de Artes,-15.763955,-47.870486
42 - PAT,42, PAT,-15.75922,-47.870397
43 - Biblioteca Central,43, Biblioteca Central,-15.761123,-47.867443
44 - ICC Sul,44, ICC Sul,-15.765966,-47.867058
45 - Centro Olímpico,45, Centro Olímpico,-15.765133,-47.857989
46 - EQN 408/409,46, EQN 408/409,-15.758767,-47.878664
47 - EQN 410/411,47, EQN 410/411,-15.752944,-47.880552
500 - Deck Sul Kids,500, Deck Sul Kids,-15.837818,-47.902195
501 - Fórum Mundial da Água,501, Fórum Mundial da Água,-15.8357,-47.861808
